0	378.0975838
0.2	378.0993769
0.4	378.1011586
0.6	378.102951
0.8	378.1047432
1	378.106524
1.2	378.1083045
1.4	378.1100846
1.6	378.1118645
1.8	378.1136441
2	378.1154233
2.2	378.2264575
2.4	378.602327
2.6	379.222062
2.8	379.8781277
3	380.4747378
3.2	381.0257291
3.4	381.5461019
3.6	382.1237067
3.8	382.7537459
4	383.3765375
4.2	383.9564896
4.4	384.513169
4.6	385.0685118
4.8	385.6415607
5	386.2494857
5.2	386.8596871
5.4	387.4347252
5.6	387.9781405
5.8	388.5364977
6	389.1265062
6.2	389.7376715
6.4	390.3306878
6.6	390.886942
6.8	391.4350548
7	392.0186902
7.2	392.6320158
7.4	393.2348245
7.6	393.8070019
7.8	394.3634427
8	394.9320051
8.2	395.5248234
8.4	396.1270483
8.6	396.7120434
8.8	397.2798037
9	397.8455591
9.2	398.4250469
9.4	399.0155626
9.6	399.6096054
9.8	400.190635
10	400.7607607
10.2	401.334532
10.4	401.924537
10.6	402.524578
10.8	403.1185316
11	403.6994025
11.2	404.2716586
11.4	404.8549833
11.6	405.4515139
11.8	406.052073
12	406.6413724
12.2	407.2157668
12.4	407.792656
12.6	408.3916358
12.8	408.9900167
13	409.5809898
13.2	410.1638945
13.4	410.7406712
13.6	411.3429668
13.8	411.9542878
14	412.5470877
14.2	413.1289467
14.4	413.7256926
14.6	414.3329419
14.8	414.9363911
15	415.534322
15.2	416.1228848
15.4	416.7178105
15.6	417.3298502
15.8	417.9347086
16	418.5224346
16.2	419.1169115
16.4	419.7240402
16.6	420.3289427
16.8	420.9271607
17	421.5274788
17.2	422.1290029
17.4	422.7364525
17.6	423.3451074
17.8	423.9417704
18	424.5381606
18.2	425.1467802
18.4	425.7560163
18.6	426.3549843
18.8	426.9553832
19	427.5619805
19.2	428.1702281
19.4	428.7774131
19.6	429.3818221
19.8	429.9845003
20	430.5953005
20.2	431.2134872
20.4	431.8258822
20.6	432.4327204
20.8	433.0448197
21	433.6600936
21.2	434.2701618
21.4	434.8821082
21.6	435.4957596
21.8	436.1077693
22	436.7237816
22.2	437.3382743
22.4	437.9491694
22.6	438.5688844
22.8	439.1855437
23	439.7922874
23.2	440.404393
23.4	441.0266491
23.6	441.6544208
23.8	442.272723
24	442.8798048
24.2	443.4884054
24.4	444.1092125
24.6	444.7364848
24.8	445.3568979
25	445.9672443
25.2	446.5777019
25.4	447.2022627
25.6	447.8299828
25.8	448.4496369
26	449.0627509
26.2	449.6749801
26.4	450.2953914
26.6	450.9258906
26.8	451.5560281
27	452.1740877
27.2	452.7853312
27.4	453.4044233
